|sentence|appeal-code
104|Around 13:40 local time (UTC +4:30) on 26 October 2015, a magnitude 7.5 earthquake struck Badakhshan province in the north-east region of Afghanistan.|MDRAF003
105|Badakhshan, Nangarhar, Baghlan and Kunar provinces were ranked the most affected provinces.|MDRAF003
106|The Afghanistan National Disaster Management Authority (ANDMA) coordinated the initial assessments in partnership with in-country humanitarian partners.|MDRAF003
107|Assessment reports indicated 117 deaths, 544 people injured, 12,794 homes damaged and 7,384 houses destroyed.|MDRAF003
108|In Badakhshan province alone, more than 51,000 people were affected.|MDRAF003
109|The province also reported to have the most extensive damages to properties.|MDRAF003
110|Kunar and Nangarhar provinces were recorded to have the highest number of deaths and casualties as a result of the earthquake.|MDRAF003
111|Food and non-food items (NFIs), emergency shelter, and psychosocial support services were identified to be among the immediate needs.|MDRAF003
112|As the country moved into winter season, winterization materials were being prioritized in the response plan.|MDRAF003
113|Access to the affected population remained the most significant challenge in delivering humanitarian assistance in a timely and effective manner.|MDRAF003
114|With the support of the government, roads were cleared to pave way for humanitarian actors to reach the earthquake affected communities with search and rescue, first aid and emergency assistance.|MDRAF003
178|Due to the heavy rain falls, which varied between 160 and 200 mm in three days equalling to a normal monthly ratio, the southern and south-eastern parts of Albania were hit by major floods, leading to the evacuation of some 850 families from their houses starting from Sunday, 1 February 2015.|MDRAL005
179|The situation in Vlora and Fier, Berat, Elbasan and Gjirokaster districts became increasingly critical.|MDRAL005
180|The heavy rains, pouring uninterruptedly for almost five days increased the levels of the Vjosa, Devoll, Osum and Seman rivers which overflew and caused huge flooding in several areas endangering also some major national highways.|MDRAL005
181|The rise of the rivers threatened the nearby communities and villages of Levan, Darzeze, Fitore, Poro, Delisuf, Akerni, Novosele, Docove, Frakull, Bishan, Mifol, Ferras and Ura Vajgurore.|MDRAL005
182|The Albanian Government mobilized the State Police, the Military Units, and the Emergency Teams which assisted the affected families in high-risk areas, especially with the evacuation of people and livestock, mostly to relatives and friends.|MDRAL005
183|Food packages and bottled water were distributed to the most vulnerable families with the support of private companies.|MDRAL005
184|According to the information provided by the Red Cross branches operating in the flooded areas, many affected families lost their winter food reserves and their livestock as well as their home furniture and household appliances.|MDRAL005
185|Based on the local branches` report there was no need for Family Restoring Links services as the evacuated families were sheltered mostly with their relatives.|MDRAL005
186|Some power stations and water supply stations were inundated too.|MDRAL005
187|So, many of the affected areas had no electric power and drinking water, which added to the level of vulnerability of many families.|MDRAL005
188|The local authorities organized the distribution of safe water to the residents.|MDRAL005
189|According to the consolidated data received from the Emergency Commission and the Albanian local authorities, these were the figures of evacuations and material damages.|MDRAL005
190|Some 42,000 people were affected in all the flooded areas; in Vlora 15,800, Fier 20,000, Berat, Elbasan, and Gjirokaster 6,100 people.|MDRAL005
191|850 families had to be evacuated.|MDRAL005
192|Around 2,000 houses were surrounded by water; most of them already flooded and seriously damaged: in the areas of Vlore 750 houses, in Fier 720, in Berat180, in Elbasan 260 and in Gjirokaster 90 houses.|MDRAL005
193|Around 3,500 heads of livestock got killed; around 6,000 animals had to be evacuated.|MDRAL005
194|An area of 17,000 acres of farm land was flooded: in the areas of Vlora 8,000 acres, Fier 7,000 acres, Berat 1,000 acres, Elbasan 600 acres, Gjirokastra 400 acres.|MDRAL005
195|The State Police urged all citizens who had been planning to travel to the south to cancel any movement.|MDRAL005
196|Furthermore, many bridges were destroyed thereby preventing traffic on the main communication routes.|MDRAL005
197|Emergency evacuations were supported by the military units, following the water levels` rise.|MDRAL005
217|Sustained heavy rainfalls starting on 7 November 2016 have caused recurrent flooding on the Drini, Mat and Vjosa rivers in Albania.|MDRAL006
218|The most affected areas were Fushe-Kruja, Tirana, Lezha, Shkodra, Shijak, Mat, Dibra, and later Elbasani, Berat, Gjirokastra and Vlora.|MDRAL006
219|Water from the five hydropower reserve lakes had to be released through the emergency gates onto the Fierza, Koman, Vau i Dejes, Ulza and Shkopet rivers.|MDRAL006
220|Illegal constructions near the river basins also resulted in water streams descending into nearby towns.|MDRAL006
221|Some 1,000 families from 250 houses at risk were most affected by the flooding and had to be evacuated.|MDRAL006
222|Families lost their winter food reserves as well as home furniture and electro-domestic devices.|MDRAL006
223|While the ARC was distributing emergency assistance to the flood-affected families, in January 2017, extreme cold weather hit the northern and north-eastern parts of the country as well as the area of Tirana.|MDRAL006
224|Historic low temperatures were recorded reaching -29 °C in the mountains near Pershkopia, Kukes, Puka, Shkodra, Korca and -15 °C in the capital as opposed to average winter temperatures of around 0 °C.|MDRAL006
225|Some 70 per cent of the country’s territory was covered in snow.|MDRAL006
226|In response to both the flood and extreme winter emergencies, the Ministry of Interior (MoI) established several emergency headquarters across the country.|MDRAL006
227|Mayors and local authority representatives were instructed to take all necessary precautions and advise the population in affected and/or isolated areas to restrain from movement.|MDRAL006
228|Schools and colleges were closed.|MDRAL006
229|The Government mobilized the State Police, the Military Units and the Fire Brigade Units to assist with the evacuation of people from their homes and schools.|MDRAL006
230|The municipality of Tirana distributed ready-to-eat food parcels (sufficient for two to three days), water and provided beds in four collective centres where some of the evacuated people were accommodated.|MDRAL006
231|The government also started to repair damaged bridges and roads to restore transportation.|MDRAL006
249|Heavy rainfall affected the territory of Albania starting on 30 November 2017.|MDRAL007
250|In some areas, the density of rain was 130 mm for two uninterrupted hours.|MDRAL007
251|River levels rapidly increased and water channels were blocked by debris streams, leading to floods in urban and densely-populated areas.|MDRAL007
252|Based on the bulletin issued by Albania’s Geosciences, Energy, Water and Environment Institute forecasting heavy rains for the period between 29 November and 4 December 2017, the Directorate for Civil Emergency issued an early warning to the population for flooding and landslides.|MDRAL007
253|The Albanian central government ordered the establishment of Emergency Management Commissions across the country in response to the situation and all structures of police, army units, and emergency response teams to be placed on full alert.|MDRAL007
254|In addition, the Ministry of Education suspended school activities in the entire country.|MDRAL007
255|Thanks to the early warning and measures taken by the government agencies, no lives were lost.|MDRAL007
256|The number of people evacuating from these areas on their own was higher compared to previous floods.|MDRAL007
257|On 2 December 2017, the Vjosa, Devoll, Osum and Seman rivers overflowed their banks, causing huge flooding in several areas and endangering also some major national highways.|MDRAL007
258|The populated areas most affected by the overflow of rivers were the following: Fushë Krujë, Ura e Gjoles, Murqine, Vore, Kamez, Laprake, Darzeze, Jaru, Ferras, Kashisht, Martin, Novosele, Bishan, Mifol, Fitore, Ure Vajgurore, Korce, and Gjirokaster.|MDRAL007
259|The civil emergency structures, the military units and state police evacuated the most vulnerable families in the three most affected areas of Vlora, Fier and Fushë-Krujë, and, in the areas where the conditions allowed, started repairing the damaged infrastructure.|MDRAL007
260|In the first week of March 2018, while relief items were being distributed to families affected by floods in December, the Shkodra area was flooded due to heavy rainfall in its northern parts, and the release of water from hydro-power plants/lakes in the Drini river (Fierza, Koman and Vau Dejes hydro-power stations).|MDRAL007
261|"As a consequence, 25 families were evacuated to the dormitory of the school ""Arben Broci""."|MDRAL007
