|_unit_id|_created_at|_golden|_id|_missed|_started_at|_tainted|_channel|_trust|_worker_id|_country|_region|_city|_ip|word_or_shortphrase|instruction|tweet|tweet_no|tweet_no_rt|type_of_message|type_of_messageconfidence|word_or_shortphrase_gold
0|240632763|1/2/2013 15:03:51|True|797143942|False|1/2/2013 15:01:51|False|instagc|0.9167|13441146|USA|GA|Cleveland|98.18.123.70|homes in the U.S. are now without power post-storm|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|53537|More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|Informative: damage (building, road, lines, etc.)|0.6938|"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
1|240632763|1/2/2013 15:06:13|True|797145153|False|1/2/2013 15:03:16|False|instagc|0.875|14893322|USA|VA|Lynchburg|96.235.212.161|8 million homes in the U.S. are now without power|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|53537|More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|Informative: damage (building, road, lines, etc.)|0.6938|"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
2|240632763|1/2/2013 15:09:30|True|797146945|False|1/2/2013 15:06:41|False|instagc|1.0|12960437|USA|WV|Point Pleasant|173.81.178.140|8 million homes in the U.S. are now without power|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|53537|More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|Informative: damage (building, road, lines, etc.)|0.6938|"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
3|240632763|1/2/2013 15:20:43|True|797152214||1/2/2013 15:17:00|False|instagc|0.75|14475081|USA|TN|Dunlap|98.143.6.78|8 million homes in the U.S. are now without power|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|53537|More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|Informative: damage (building, road, lines, etc.)|0.6938|"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
4|240632763|1/2/2013 15:32:29|True|797157904||1/2/2013 15:30:17|False|instagc|1.0|14049868|USA|OH|Toledo|131.183.0.122|without power|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|53537|More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|Informative: damage (building, road, lines, etc.)|0.6938|"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
5|240632763|1/2/2013 15:42:27|True|797163197|False|1/2/2013 15:40:36|False|golddiggergpt|0.9286|15038871|USA|FL|Port Richey|68.200.93.250|homes|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|53537|More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|Informative: damage (building, road, lines, etc.)|0.6938|"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
6|240632763|1/3/2013 10:42:22|True|798237936|True|1/3/2013 10:38:52|False|extralunchmoney|0.8636|15113061|USA|MI|Saint Johns|50.36.97.129|8 million homes|names a structure, road, service, line, etc. that is not working or has been damaged|RT @nytimes: More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|53537|More than 8 million homes in the U.S. are now without power post-storm: http://t.co/NxGQdZh8|Informative: damage (building, road, lines, etc.)|0.6938|"power
without power
8 million homes in the U.S. are now without power
homes
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
8 million homes in the U.S. are now without power
homes in the U.S. are now without power
homes
power
without power
homes in the U.S. are now without power post-storm
homes in the U.S. are now without power post-storm
without power
power
homes
homes in the U.S. are now without power
8 million homes in the U.S. are now without power"
19|240632765|1/2/2013 15:01:01|True|797142380||1/2/2013 14:57:46|False|instagc|0.75|14452255|USA|AL|Elmore|68.207.200.230|32|indicates who has (or how many people have) been injured or dead|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|51042|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|Informative: casualties (people injured or dead)|0.732|"32 people
32 people have been killed
32
At least 32
At least 32 people
At least 32 people have been killed
At least 32 people
At least 32 people have been killed
32 people have been killed
32
At least 32 people
At least 32 people have been killed
32 people"
20|240632765|1/2/2013 15:06:02|True|797145113||1/2/2013 15:02:12|False|instagc|0.75|14475081|USA|TN|Dunlap|98.143.6.78|At least 32 people|indicates who has (or how many people have) been injured or dead|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|51042|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|Informative: casualties (people injured or dead)|0.732|"32 people
32 people have been killed
32
At least 32
At least 32 people
At least 32 people have been killed
At least 32 people
At least 32 people have been killed
32 people have been killed
32
At least 32 people
At least 32 people have been killed
32 people"
21|240632765|1/2/2013 15:19:42|True|797151873||1/2/2013 15:16:10|False|instagc|1.0|15079559|USA|FL|Spring Hill|173.168.211.177|At least 32 people|indicates who has (or how many people have) been injured or dead|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|51042|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|Informative: casualties (people injured or dead)|0.732|"32 people
32 people have been killed
32
At least 32
At least 32 people
At least 32 people have been killed
At least 32 people
At least 32 people have been killed
32 people have been killed
32
At least 32 people
At least 32 people have been killed
32 people"
22|240632765|1/2/2013 15:21:47|True|797152537||1/2/2013 15:12:38|False|instagc|1.0|13975029|USA|SC|Swansea|204.116.173.21|32|indicates who has (or how many people have) been injured or dead|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|51042|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|Informative: casualties (people injured or dead)|0.732|"32 people
32 people have been killed
32
At least 32
At least 32 people
At least 32 people have been killed
At least 32 people
At least 32 people have been killed
32 people have been killed
32
At least 32 people
At least 32 people have been killed
32 people"
23|240632765|1/2/2013 15:27:02|True|797155147||1/2/2013 15:13:16|False|instagc|1.0|14049868|USA|OH|Toledo|131.183.0.122|At least 32 people have been killed|indicates who has (or how many people have) been injured or dead|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|51042|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|Informative: casualties (people injured or dead)|0.732|"32 people
32 people have been killed
32
At least 32
At least 32 people
At least 32 people have been killed
At least 32 people
At least 32 people have been killed
32 people have been killed
32
At least 32 people
At least 32 people have been killed
32 people"
24|240632765|1/2/2013 15:31:24|True|797157284||1/2/2013 15:28:42|False|instagc|1.0|15124146|USA|CT|Norwalk|24.189.161.45|32 people|indicates who has (or how many people have) been injured or dead|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|51042|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|Informative: casualties (people injured or dead)|0.732|"32 people
32 people have been killed
32
At least 32
At least 32 people
At least 32 people have been killed
At least 32 people
At least 32 people have been killed
32 people have been killed
32
At least 32 people
At least 32 people have been killed
32 people"
25|240632765|1/2/2013 15:37:55|True|797160885||1/2/2013 15:34:11|False|instagc|1.0|14296101|USA|MN|Buffalo|216.105.230.23|32 people have been killed|indicates who has (or how many people have) been injured or dead|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|51042|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|Informative: casualties (people injured or dead)|0.732|"32 people
32 people have been killed
32
At least 32
At least 32 people
At least 32 people have been killed
At least 32 people
At least 32 people have been killed
32 people have been killed
32
At least 32 people
At least 32 people have been killed
32 people"
26|240632765|1/2/2013 15:46:42|True|797165481||1/2/2013 15:44:37|False|golddiggergpt|0.9286|15038871|USA|FL|Port Richey|68.200.93.250|32 people have been killed|indicates who has (or how many people have) been injured or dead|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|51042|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|Informative: casualties (people injured or dead)|0.732|"32 people
32 people have been killed
32
At least 32
At least 32 people
At least 32 people have been killed
At least 32 people
At least 32 people have been killed
32 people have been killed
32
At least 32 people
At least 32 people have been killed
32 people"
27|240632765|1/2/2013 16:16:50|True|797181708||1/2/2013 16:14:13|False|instagc|1.0|14853026|USA|PA|Mifflinville|72.79.132.143|At least 32 people have been killed|indicates who has (or how many people have) been injured or dead|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|51042|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|Informative: casualties (people injured or dead)|0.732|"32 people
32 people have been killed
32
At least 32
At least 32 people
At least 32 people have been killed
At least 32 people
At least 32 people have been killed
32 people have been killed
32
At least 32 people
At least 32 people have been killed
32 people"
28|240632765|1/3/2013 10:36:53|True|798232935||1/3/2013 10:34:53|False|extralunchmoney|0.8636|15113061|USA|MI|Saint Johns|50.36.97.129|32 people|indicates who has (or how many people have) been injured or dead|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|51042|US counts cost as Sandy recedes: At least 32 people have been killed millions are without power and transport a... http://t.co/HpwqFoCq|Informative: casualties (people injured or dead)|0.732|"32 people
32 people have been killed
32
At least 32
At least 32 people
At least 32 people have been killed
At least 32 people
At least 32 people have been killed
32 people have been killed
32
At least 32 people
At least 32 people have been killed
32 people"
29|240632766|1/2/2013 15:01:53|True|797142837|False|1/2/2013 14:57:28|False|instagc|0.75|14475081|USA|TN|Dunlap|98.143.6.78|scaffolding toppling car on CPW and 92nd|names a structure, road, service, line, etc. that is not working or has been damaged|RT @twc_hurricane: RT @nowthised: Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|69804|Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|Informative: damage (building, road, lines, etc.)|0.7297|"car
scaffolding toppling car
car on CPW
car on CPW and 92nd
car on CPW and 92nd across from Central Park
car on CPW and 92nd across from Central ParkNYC
scaffolding toppling car on CPW and 92nd
scaffolding toppling car
Wider shot of scaffolding toppling car
scaffolding toppling car on CPW and 92nd
car on CPW and 92nd across from Central ParkNYC
shot of scaffolding toppling car"
30|240632766|1/2/2013 15:05:55|True|797145057||1/2/2013 15:04:41|False|amt|1.0|5112203|USA|MD|Baltimore|72.81.233.17|scaffolding toppling car|names a structure, road, service, line, etc. that is not working or has been damaged|RT @twc_hurricane: RT @nowthised: Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|69804|Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|Informative: damage (building, road, lines, etc.)|0.7297|"car
scaffolding toppling car
car on CPW
car on CPW and 92nd
car on CPW and 92nd across from Central Park
car on CPW and 92nd across from Central ParkNYC
scaffolding toppling car on CPW and 92nd
scaffolding toppling car
Wider shot of scaffolding toppling car
scaffolding toppling car on CPW and 92nd
car on CPW and 92nd across from Central ParkNYC
shot of scaffolding toppling car"
31|240632766|1/2/2013 15:09:15|True|797146740|True|1/2/2013 15:07:41|False|instagc|0.9167|13441146|USA|GA|Cleveland|98.18.123.70|caffolding toppling car on CPW and 92nd across from Central ParkNYC|names a structure, road, service, line, etc. that is not working or has been damaged|RT @twc_hurricane: RT @nowthised: Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|69804|Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|Informative: damage (building, road, lines, etc.)|0.7297|"car
scaffolding toppling car
car on CPW
car on CPW and 92nd
car on CPW and 92nd across from Central Park
car on CPW and 92nd across from Central ParkNYC
scaffolding toppling car on CPW and 92nd
scaffolding toppling car
Wider shot of scaffolding toppling car
scaffolding toppling car on CPW and 92nd
car on CPW and 92nd across from Central ParkNYC
shot of scaffolding toppling car"
32|240632766|1/2/2013 15:11:21|True|797147835|False|1/2/2013 15:09:47|False|instagc|1.0|12960437|USA|WV|Point Pleasant|173.81.178.140|Wider shot of scaffolding toppling car|names a structure, road, service, line, etc. that is not working or has been damaged|RT @twc_hurricane: RT @nowthised: Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|69804|Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|Informative: damage (building, road, lines, etc.)|0.7297|"car
scaffolding toppling car
car on CPW
car on CPW and 92nd
car on CPW and 92nd across from Central Park
car on CPW and 92nd across from Central ParkNYC
scaffolding toppling car on CPW and 92nd
scaffolding toppling car
Wider shot of scaffolding toppling car
scaffolding toppling car on CPW and 92nd
car on CPW and 92nd across from Central ParkNYC
shot of scaffolding toppling car"
33|240632766|1/2/2013 15:12:36|True|797148447||1/2/2013 15:05:57|False|instagc|1.0|13975029|USA|SC|Swansea|204.116.173.21|car on CPW and 92nd across from Central ParkNYC|names a structure, road, service, line, etc. that is not working or has been damaged|RT @twc_hurricane: RT @nowthised: Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|69804|Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|Informative: damage (building, road, lines, etc.)|0.7297|"car
scaffolding toppling car
car on CPW
car on CPW and 92nd
car on CPW and 92nd across from Central Park
car on CPW and 92nd across from Central ParkNYC
scaffolding toppling car on CPW and 92nd
scaffolding toppling car
Wider shot of scaffolding toppling car
scaffolding toppling car on CPW and 92nd
car on CPW and 92nd across from Central ParkNYC
shot of scaffolding toppling car"
34|240632766|1/2/2013 15:24:45|True|797153986|False|1/2/2013 15:20:17|False|instagc|1.0|15124146|USA|CT|Norwalk|24.189.161.45|Wider shot of scaffolding toppling car|names a structure, road, service, line, etc. that is not working or has been damaged|RT @twc_hurricane: RT @nowthised: Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|69804|Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|Informative: damage (building, road, lines, etc.)|0.7297|"car
scaffolding toppling car
car on CPW
car on CPW and 92nd
car on CPW and 92nd across from Central Park
car on CPW and 92nd across from Central ParkNYC
scaffolding toppling car on CPW and 92nd
scaffolding toppling car
Wider shot of scaffolding toppling car
scaffolding toppling car on CPW and 92nd
car on CPW and 92nd across from Central ParkNYC
shot of scaffolding toppling car"
35|240632766|1/2/2013 15:26:38|True|797154869||1/2/2013 15:23:01|False|instagc|0.75|14452255|USA|AL|Elmore|68.207.200.230|scaffolding toppling car|names a structure, road, service, line, etc. that is not working or has been damaged|RT @twc_hurricane: RT @nowthised: Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|69804|Wider shot of scaffolding toppling car on CPW and 92nd across from Central ParkNYC @nowthisnews #sandy http://t.co/ivkExinW|Informative: damage (building, road, lines, etc.)|0.7297|"car
scaffolding toppling car
car on CPW
car on CPW and 92nd
car on CPW and 92nd across from Central Park
car on CPW and 92nd across from Central ParkNYC
scaffolding toppling car on CPW and 92nd
scaffolding toppling car
Wider shot of scaffolding toppling car
scaffolding toppling car on CPW and 92nd
car on CPW and 92nd across from Central ParkNYC
shot of scaffolding toppling car"
